	ntype
DRUGBANK:DB00014	drug
HGNC:6585	protein
DRUGBANK:DB00035	drug
HGNC:897	protein
HGNC:895	protein
HGNC:896	protein
DRUGBANK:DB00050	drug
DRUGBANK:DB00067	drug
DRUGBANK:DB00091	drug
HGNC:1471	protein
HGNC:9318	protein
HGNC:9259	protein
DRUGBANK:DB00104	drug
HGNC:11330	protein
HGNC:11334	protein
HGNC:11331	protein
DRUGBANK:DB00114	drug
HGNC:14412	protein
HGNC:4092	protein
HGNC:1550	protein
HGNC:6469	protein
HGNC:10850	protein
HGNC:15910	protein
HGNC:4432	protein
HGNC:8091	protein
HGNC:8109	protein
HGNC:17929	protein
HGNC:23	protein
HGNC:30260	protein
HGNC:10817	protein
HGNC:11573	protein
HGNC:1564	protein
HGNC:26160	protein
HGNC:9725	protein
HGNC:11278	protein
HGNC:18966	protein
HGNC:4855	protein
HGNC:29957	protein
HGNC:10691	protein
HGNC:4188	protein
HGNC:4313	protein
HGNC:4552	protein
HGNC:19129	protein
HGNC:396	protein
HGNC:341	protein
HGNC:30259	protein
HGNC:11277	protein
HGNC:2501	protein
HGNC:976	protein
HGNC:977	protein
HGNC:9457	protein
HGNC:3974	protein
HGNC:4433	protein
HGNC:9723	protein
HGNC:9726	protein
HGNC:2719	protein
HGNC:28995	protein
HGNC:33238	protein
HGNC:27949	protein
HGNC:18161	protein
HGNC:26384	protein
HGNC:28249	protein
HGNC:10852	protein
HGNC:397	protein
HGNC:18062	protein
HGNC:18234	protein
HGNC:30404	protein
HGNC:14398	protein
HGNC:30605	protein
HGNC:16253	protein
DRUGBANK:DB00115	drug
HGNC:7468	protein
HGNC:7526	protein
HGNC:7473	protein
HGNC:18871	protein
HGNC:24525	protein
HGNC:7436	protein
DRUGBANK:DB00118	drug
HGNC:457	protein
HGNC:6904	protein
HGNC:4415	protein
HGNC:6903	protein
HGNC:2228	protein
HGNC:21077	protein
HGNC:17452	protein
DRUGBANK:DB00119	drug
HGNC:9020	protein
HGNC:9021	protein
HGNC:8808	protein
HGNC:10927	protein
HGNC:10923	protein
HGNC:10925	protein
HGNC:16270	protein
HGNC:10926	protein
HGNC:10928	protein
HGNC:10924	protein
HGNC:10922	protein
HGNC:8636	protein
DRUGBANK:DB00120	drug
HGNC:21062	protein
HGNC:3592	protein
HGNC:17800	protein
HGNC:11782	protein
HGNC:8582	protein
HGNC:11066	protein
DRUGBANK:DB00121	drug
HGNC:8654	protein
HGNC:4976	protein
HGNC:6937	protein
HGNC:85	protein
HGNC:6936	protein
HGNC:8653	protein
HGNC:84	protein
DRUGBANK:DB00122	drug
HGNC:108	protein
HGNC:8755	protein
HGNC:8754	protein
HGNC:9068	protein
HGNC:983	protein
HGNC:9067	protein
HGNC:16815	protein
HGNC:1960	protein
DRUGBANK:DB00123	drug
HGNC:11062	protein
HGNC:11061	protein
HGNC:6215	protein
HGNC:11057	protein
HGNC:11060	protein
DRUGBANK:DB00126	drug
HGNC:9082	protein
HGNC:8940	protein
HGNC:9083	protein
HGNC:964	protein
HGNC:2689	protein
HGNC:8596	protein
HGNC:19316	protein
HGNC:19317	protein
HGNC:19318	protein
HGNC:8546	protein
HGNC:25585	protein
HGNC:25823	protein
HGNC:32487	protein
HGNC:30141	protein
HGNC:11115	protein
HGNC:9081	protein
HGNC:18308	protein
HGNC:28858	protein
HGNC:1232	protein
HGNC:14660	protein
HGNC:14661	protein
DRUGBANK:DB00128	drug
HGNC:756	protein
HGNC:753	protein
HGNC:10982	protein
HGNC:10983	protein
HGNC:177	protein
HGNC:757	protein
HGNC:758	protein
HGNC:2678	protein
HGNC:8587	protein
HGNC:1424	protein
